sno	Collected_Protein_name	Uniprot_Name	Uniprot_ID	Approved_Symbol	Gene_Identifier	Approved_Protein_Name	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
617	MMP2	MMP2_HUMAN	P08253	MMP2	HGNC:7166	72 kDa type IV collagenase	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		1400000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
618	MMP9	MMP9_HUMAN	P14780	MMP9	HGNC:7176	Matrix metalloproteinase-9	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		100000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
619	MMP9	MMP9_HUMAN	P14780	MMP9	HGNC:7176	Matrix metalloproteinase-9	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		1400000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
620	TIMP1	TIMP1_HUMAN	P01033	TIMP1	HGNC:11820	Metalloproteinase inhibitor 1	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		100000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
621	TIMP1	TIMP1_HUMAN	P01033	TIMP1	HGNC:11820	Metalloproteinase inhibitor 1	Human	Protein	31380578	Homo sapiens				Normal human dermal fibroblasts (NHDFs)	Skin	Cell	UVA-radiation		1400000	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
622	MCP-1	CCL2_MOUSE	P10148	Ccl2	MGI:98259	C-C motif chemokine 2	Mouse	Protein	31408874	Mus musculus	C57BL/6		0.12	Cornea	Eye	Tissue	UVB-radiation		14500	in vivo	No irradiation	72	Proteomics	ELISA	Up	cornea	UBERON_0000964	Uberon Ontology	
623	MCP-1	CCL2_MOUSE	P10148	Ccl2	MGI:98259	C-C motif chemokine 2	Mouse	Protein	31408874	Mus musculus	C57BL/6		0.12	Iris/Ciliary Body	Eye	Tissue	UVB-radiation		14500	in vivo	No irradiation	72	Proteomics	ELISA	Up	iris	UBERON_0001769	Uberon Ontology	
624	MCP-1	CCL2_MOUSE	P10148	Ccl2	MGI:98259	C-C motif chemokine 2	Mouse	Protein	31408874	Mus musculus	C57BL/6		0.12	Aqueous Humor	Eye	Tissue	UVB-radiation		14500	in vivo	No irradiation	72	Proteomics	ELISA	Up	aqueous humor of eyeball	UBERON_0001796	Uberon Ontology	
625	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	31432192	Homo sapiens	Healthy	Both		Neonatal human dermal fibroblast cell line (NHDF)		Cell	UVB-radiation		300	in vitro	No irradiation	48	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
626	MMP-2	MMP2_HUMAN	P08253	MMP2	HGNC:7166	72 kDa type IV collagenase	Human	Protein	31432192	Homo sapiens	Healthy	Both		Neonatal human dermal fibroblast cell line (NHDF)		Cell	UVB-radiation		300	in vitro	No irradiation	48	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
627	TIMP-1	TIMP1_HUMAN	P01033	TIMP1	HGNC:11820	Metalloproteinase inhibitor 1	Human	Protein	31432192	Homo sapiens	Healthy	Both		Neonatal human dermal fibroblast cell line (NHDF)		Cell	UVB-radiation		300	in vitro	No irradiation	48	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
628	Smad7	SMAD7_MOUSE	O35253	Smad7	MGI:1100518	Mothers against decapentaplegic homolog 7	Mouse	Protein	31474086	Mus musculus	SKH-1		0.1		Dorsal skin	Tissue	UVB-radiation			in vivo	No irradiation		Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
629	c-Fos	FOS_MOUSE	P01101	Fos	MGI:95574	Protein c-Fos	Mouse	Protein	31474086	Mus musculus	SKH-1		0.1		Dorsal skin	Tissue	UVB-radiation			in vivo	No irradiation		Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
630	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	31512082	Homo sapiens				HaCaT	Skin	Cell	UVB-radiation		1250	in vitro	No irradiation		Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
631	IL-6	IL6_HUMAN	P05231	IL6	HGNC:6018	Interleukin-6	Human	Protein	31512082	Homo sapiens				HaCaT	Skin	Cell	UVB-radiation		1250	in vitro	No irradiation		Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
632	VEGF	VEGFA_HUMAN	P15692	VEGFA	HGNC:12680	Vascular endothelial growth factor A	Human	Protein	31512082	Homo sapiens				HaCaT	Skin	Cell	UVB-radiation		1250	in vitro	No irradiation		Proteomics	ELISA	Up	keratinocyte	CL_0000312	Cell Ontology	
633	IkB-alpha	IKBA_HUMAN	P25963	NFKBIA	HGNC:7797	NF-kappa-B inhibitor alpha	Human	Protein	31512082	Homo sapiens				HaCaT	Skin	Cell	UVB-radiation		1250	in vitro	No irradiation		Proteomics	Western blot	Down	keratinocyte	CL_0000312	Cell Ontology	
634	TGF-β1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	31512082	Homo sapiens				HaCaT	Skin	Cell	UVB-radiation		1250	in vitro	No irradiation		Proteomics	Western blot	Down	keratinocyte	CL_0000312	Cell Ontology	
635	Smad7	SMAD7_HUMAN	O15105	SMAD7	HGNC:6773	Mothers against decapentaplegic homolog 7	Human	Protein	31512082	Homo sapiens				HaCaT	Skin	Cell	UVB-radiation		1250	in vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
636	Bcl-2	BCL2_HUMAN	P10415	BCL2	HGNC:990	Apoptosis regulator Bcl-2	Human	Protein	31538224	Homo sapiens				HaCaT		Cell	UVB-radiation		300	in vitro	No irradiation	24	Proteomics	Western blot	Down	keratinocyte	CL_0000312	Cell Ontology	
637	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	31547364	Homo sapiens				Hs68 cells (human skin fibroblast)		Cell	UVB-radiation		400	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
638	MMP-3	MMP3_HUMAN	P08254	MMP3	HGNC:7173	Stromelysin-1	Human	Protein	31547364	Homo sapiens				Hs68 cells (human skin fibroblast)		Cell	UVB-radiation		400	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
639	MMP-9	MMP9_HUMAN	P14780	MMP9	HGNC:7176	Matrix metalloproteinase-9	Human	Protein	31547364	Homo sapiens				Hs68 cells (human skin fibroblast)		Cell	UVB-radiation		400	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
640	c-Jun	JUN_HUMAN	P05412	JUN	HGNC:6204	Transcription factor Jun	Human	Protein	31547364	Homo sapiens				Hs68 cells (human skin fibroblast)		Cell	UVB-radiation		400	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
641	smad3	SMAD3_HUMAN	P84022	SMAD3	HGNC:6769	Mothers against decapentaplegic homolog 3	Human	Protein	31547364	Homo sapiens				Hs68 cells (human skin fibroblast)		Cell	UVB-radiation		400	in vitro	No irradiation		Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
642	smad7	SMAD7_HUMAN	O15105	SMAD7	HGNC:6773	Mothers against decapentaplegic homolog 7	Human	Protein	31547364	Homo sapiens				Hs68 cells (human skin fibroblast)		Cell	UVB-radiation		400	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
643	nitride oxide synthase (i-NOS)	NOS2_HUMAN	P35228	NOS2	HGNC:7873	Nitric oxide synthase, inducible	Human	Protein	31547364	Homo sapiens				Hs68 cells (human skin fibroblast)		Cell	UVB-radiation		400	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
644	Cyclooxygenase (COX-2)	COX2_HUMAN	P00403	MT-CO2	HGNC:7421	Cytochrome c oxidase subunit 2	Human	Protein	31547364	Homo sapiens				Hs68 cells (human skin fibroblast)		Cell	UVB-radiation		400	in vitro	No irradiation		Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
645	PCNA (proliferating cell nuclear antigen)	PCNA_HUMAN	P12004	PCNA	HGNC:8729	Proliferating cell nuclear antigen	Human	Protein	31554014	Homo sapiens				HaCaT		Cell	UVB-radiation	5	200	in vitro	No irradiation		Proteomics	Immunoblotting	Up	keratinocyte	CL_0000312	Cell Ontology	
646	Bax	BAX_RAT	Q63690	Bax	RGD:2192	Apoptosis regulator BAX	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	3	81000000	in vivo	No irradiation		Proteomics	Western blot	Up	transparent eye structure	UBERON_0005389	Uberon Ontology	
647	Bax	BAX_RAT	Q63690	Bax	RGD:2192	Apoptosis regulator BAX	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	4.5	121500000	in vivo	No irradiation		Proteomics	Western blot	Up	transparent eye structure	UBERON_0005389	Uberon Ontology	
648	Bcl-2	BCL2_RAT	P49950	Bcl2	RGD:2199	Apoptosis regulator Bcl-2	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	3	81000000	in vivo	No irradiation		Proteomics	Western blot	Up	transparent eye structure	UBERON_0005389	Uberon Ontology	
649	Bcl-2	BCL2_RAT	P49950	Bcl2	RGD:2199	Apoptosis regulator Bcl-2	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	4.5	121500000	in vivo	No irradiation		Proteomics	Western blot	Up	transparent eye structure	UBERON_0005389	Uberon Ontology	
650	caspase-3	CASP3_RAT	P55213	Casp3	RGD:2275	Caspase-3	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	3	81000000	in vivo	No irradiation		Proteomics	Western blot	Up	transparent eye structure	UBERON_0005389	Uberon Ontology	
651	caspase-3	CASP3_RAT	P55213	Casp3	RGD:2275	Caspase-3	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	4.5	121500000	in vivo	No irradiation		Proteomics	Western blot	Up	transparent eye structure	UBERON_0005389	Uberon Ontology	
652	Sirt1	SIR1_RAT	A0A0G2JZ79	Sirt1	RGD:1308542	NAD-dependent protein deacetylase sirtuin-1	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	1.5	40500000	in vivo	No irradiation		Proteomics	Western blot	Down	transparent eye structure	UBERON_0005389	Uberon Ontology	
653	Sirt1	SIR1_RAT	A0A0G2JZ79	Sirt1	RGD:1308542	NAD-dependent protein deacetylase sirtuin-1	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	3	81000000	in vivo	No irradiation		Proteomics	Western blot	Down	transparent eye structure	UBERON_0005389	Uberon Ontology	
654	Sirt1	SIR1_RAT	A0A0G2JZ79	Sirt1	RGD:1308542	NAD-dependent protein deacetylase sirtuin-1	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	4.5	121500000	in vivo	No irradiation		Proteomics	Western blot	Down	transparent eye structure	UBERON_0005389	Uberon Ontology	
655	SREBF2	SRBP2_RAT	Q3T1I5	Srebf2	RGD:1307751	Sterol regulatory element-binding protein 2	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	3	81000000	in vivo	No irradiation		Proteomics	Western blot	Up	transparent eye structure	UBERON_0005389	Uberon Ontology	
656	SREBF2	SRBP2_RAT	Q3T1I5	Srebf2	RGD:1307751	Sterol regulatory element-binding protein 2	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	4.5	121500000	in vivo	No irradiation		Proteomics	Western blot	Up	transparent eye structure	UBERON_0005389	Uberon Ontology	
657	HMGCR	HMDH_RAT	P51639	Hmgcr	RGD:2803	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	3	81000000	in vivo	No irradiation		Proteomics	Western blot	Up	transparent eye structure	UBERON_0005389	Uberon Ontology	
658	HMGCR	HMDH_RAT	P51639	Hmgcr	RGD:2803	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	4.5	121500000	in vivo	No irradiation		Proteomics	Western blot	Up	transparent eye structure	UBERON_0005389	Uberon Ontology	
659	LSS	LSS_RAT	P48450	Lss	RGD:620955	Lanosterol synthase	Rat	Protein	31555133	Rattus norvegicus	Sprague-Dawley	Female	0.12	Lenses	Eye	Tissue	UVB-radiation	4.5	121500000	in vivo	No irradiation		Proteomics	Western blot	Up	transparent eye structure	UBERON_0005389	Uberon Ontology	
660	LSS	LSS_HUMAN	P48449	LSS	HGNC:6708	Lanosterol synthase	Human	Protein	31555133	Homo sapiens				HLE cell line SRA 01/04		Cell	UVB-radiation	1.5	3000000	in vitro	No irradiation		Proteomics	Western blot	Up	corneal epithelial cell	CL_0000575	Cell Ontology	
661	LSS	LSS_MOUSE	Q8BLN5	Lss	MGI:1336155	Lanosterol synthase	Mouse	Protein	31577300	Mus musculus	BALB/c	Female			Dorsal skin	Tissue	UVB-radiation		2400	in vivo	No irradiation		Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
662	IL-6	IL6_MOUSE	P08505	Il6	MGI:96559	Interleukin-6	Mouse	Protein	31577300	Mus musculus	BALB/c	Female			Dorsal skin	Tissue	UVB-radiation		2400	in vivo	No irradiation		Proteomics	Western blot	Up	skin of back	UBERON_0001068	Uberon Ontology	
663	elastin	ELN_HUMAN	P15502	ELN	HGNC:3327	Elastin	Human	Protein	31602539	Homo sapiens		male	Passage 5	Human dermal fibroblasts (HDFs)		Cell	UVB-radiation		2000	in vitro	No irradiation	48	Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
664	elastin	ELN_HUMAN	P15502	ELN	HGNC:3327	Elastin	Human	Protein	31602539	Homo sapiens		male	Passage 15	Human dermal fibroblasts (HDFs)		Cell	UVB-radiation		2000	in vitro	No irradiation	48	Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
665	elastin	ELN_HUMAN	P15502	ELN	HGNC:3327	Elastin	Human	Protein	31602539	Homo sapiens		male	Passage 28	Human dermal fibroblasts (HDFs)		Cell	UVB-radiation		2000	in vitro	No irradiation	48	Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
666	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	31614689	Homo sapiens				Human fibroblasts (Hs68)		Cell	UVB-radiation		1000	in vitro	No irradiation	24	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
667	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	31614689	Homo sapiens				Human fibroblasts (Hs68)		Cell	UVB-radiation		1000	in vitro	No irradiation	24	Proteomics	Immunoblotting	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
668	MMP-2	MMP2_HUMAN	P08253	MMP2	HGNC:7166	72 kDa type IV collagenase	Human	Protein	31614689	Homo sapiens				Human fibroblasts (Hs68)		Cell	UVB-radiation		1000	in vitro	No irradiation	24	Proteomics	Immunoblotting	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
669	MMP-2	MMP2_MOUSE	P33434	Mmp2	MGI:97009	72 kDa type IV collagenase	Mouse	Protein	31614689	Mus musculus	SKH-1	Female	0.12	Skin tissue	Skin	Tissue	UVB-radiation		15000	in vivo	No irradiation		Proteomics	Immunoblotting	Up	skin of body	UBERON_0002097	Uberon Ontology	
670	iNOS	NOS2_MOUSE	P29477	Nos2	MGI:97361	Nitric oxide synthase, inducible	Mouse	Protein	31614689	Mus musculus	SKH-1	Female	0.12	Skin tissue	Skin	Tissue	UVB-radiation		15000	in vivo	No irradiation		Proteomics	Immunoblotting	Up	skin of body	UBERON_0002097	Uberon Ontology	
671	COX-2	COX2_MOUSE	P00405	Mtco2	MGI:102503	Cytochrome c oxidase subunit 2	Mouse	Protein	31614689	Mus musculus	SKH-1	Female	0.12	Skin tissue	Skin	Tissue	UVB-radiation		15000	in vivo	No irradiation		Proteomics	Immunoblotting	Up	skin of body	UBERON_0002097	Uberon Ontology	
672	Peroxiredoxin 1	PRDX1_HUMAN	Q06830	PRDX1	HGNC:9352	Peroxiredoxin-1	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVA-radiation		300000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
673	Glutathione reductase	GSHR_HUMAN	P00390	GSR	HGNC:4623	Glutathione reductase, mitochondrial	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVA-radiation		300000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
674	Thioredoxin reductase 1	TRXR1_HUMAN	Q16881	TXNRD1	HGNC:12437	Thioredoxin reductase 1, cytoplasmic	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVA-radiation		300000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
675	Thrx- dependent peroxide reductase	PRDX3_HUMAN	P30048	PRDX3	HGNC:9354	Thioredoxin-dependent peroxide reductase, mitochondrial	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVA-radiation		300000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
676	Nrf2	NF2L2_HUMAN	Q16236	NFE2L2	HGNC:7782	Nuclear factor erythroid 2-related factor 2	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVA-radiation		300000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
677	PARP-1	PARP1_HUMAN	P09874	PARP1	HGNC:270	Poly [ADP-ribose] polymerase 1	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVA-radiation		300000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
678	FEN1	FEN1_HUMAN	P39748	FEN1	HGNC:3650	Flap endonuclease 1	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVA-radiation		300000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
679	TNFα	TNFA_HUMAN	P01375	TNF	HGNC:11892	tumor necrosis factor	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVA-radiation		300000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
680	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVA-radiation		300000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
681	Bcl-2-associated transcription factor 1	BCLF1_HUMAN	Q9NYF8	BCLAF1	HGNC:16863	Bcl-2-associated transcription factor 1	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVA-radiation		300000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
682	Cell cycle/apoptosis regulator protein 2	CCAR2_HUMAN	Q8N163	CCAR2	HGNC:23360	Cell cycle and apoptosis regulator protein 2	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVA-radiation		300000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
683	Caspase 3	CASP3_HUMAN	P42574	CASP3	HGNC:1504	Caspase-3	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVA-radiation		300000	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
684	Peroxiredoxin 1	PRDX1_HUMAN	Q06830	PRDX1	HGNC:9352	Peroxiredoxin-1	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVB-radiation		600	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
685	Glutathione reductase	GSHR_HUMAN	P00390	GSR	HGNC:4623	Glutathione reductase, mitochondrial	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVB-radiation		600	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
686	Nrf2	NF2L2_HUMAN	Q16236	NFE2L2	HGNC:7782	Nuclear factor erythroid 2-related factor 2	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVB-radiation		600	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
687	PARP-1	PARP1_HUMAN	P09874	PARP1	HGNC:270	Poly [ADP-ribose] polymerase 1	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVB-radiation		600	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
688	FEN1	FEN1_HUMAN	P39748	FEN1	HGNC:3650	Flap endonuclease 1	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVB-radiation		600	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
689	TNFα	TNFA_HUMAN	P01375	TNF	HGNC:11892	tumor necrosis factor	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVB-radiation		600	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
690	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVB-radiation		600	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
691	Bcl-2-associated transcription factor 1	BCLF1_HUMAN	Q9NYF8	BCLAF1	HGNC:16863	Bcl-2-associated transcription factor 1	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVB-radiation		600	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Down	keratinocyte	CL_0000312	Cell Ontology	
692	Cell cycle/apoptosis regulator protein 2	CCAR2_HUMAN	Q8N163	CCAR2	HGNC:23360	Cell cycle and apoptosis regulator protein 2	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVB-radiation		600	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
693	Caspase 3	CASP3_HUMAN	P42574	CASP3	HGNC:1504	Caspase-3	Human	Protein	31694226	Homo sapiens				Human keratinocytes CDD 1102 KERTr		Cell	UVB-radiation		600	in vitro	No irradiation	24	Proteomics	LC-MS/MS	Up	keratinocyte	CL_0000312	Cell Ontology	
694	IL-8	IL8_HUMAN	P10145	CXCL8	HGNC:6025	Interleukin-8	Human	Protein	31705899	Homo sapiens				Reconstructed 3D human corneal epithelial (3D-HCE) tissue		Tissue	UVB-radiation		1200	in vitro	No irradiation	2	Proteomics	ELISA	Up	corneal epithelium	UBERON_0001772	Uberon Ontology	
695	AQP3	AQP3_HUMAN	Q92482	AQP3	HGNC:636	Aquaporin-3	Human	Protein	31707352	Homo sapiens				HaCaT		Cell	UVB-radiation		200	in vitro	No irradiation	18	Proteomics	Western blot	Down	keratinocyte	CL_0000312	Cell Ontology	
